Date,Year,Pasture,Patch,Pasture_Patch,Pasture_Patch_Year,Pasture_Patch_Year_Transect,Robel.N,Robel.E,Robel.S,Robel.W,WSG,CSG_FEAR,CSG,FEAR,CHEAT,Forbs,Legumes,Woody,Bare,Litter,Litter_dep,Panic,Seed_mix_forbs,Seed_cover_total,Sedges,SDV,TALLEST,LIT_2,LIT_3,Angle_of_O,Violets
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,11,7,7,9,0,.,16,38,.,16,0,38,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,8,8,8,0,.,63,0,.,3,3,63,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,7,7,9,0,.,86,38,.,16,0,0,38,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,8,7,8,0,.,63,38,.,38,0,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,8,7,9,0,.,16,38,.,38,38,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,7,7,7,0,.,63,38,.,63,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,7,7,0,.,16,63,.,38,0,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,7,6,0,.,38,63,.,38,0,0,16,3,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,7,6,0,.,3,38,.,38,38,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,8,0,.,63,38,.,38,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,6,0,.,16,86,.,16,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,6,5,0,.,38,16,.,38,38,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,6,0,.,16,63,.,3,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,6,0,.,16,86,.,3,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,7,0,.,16,63,.,38,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,8,5,5,0,.,3,96,.,3,3,16,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,5,9,4,0,.,63,38,.,3,38,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,3,6,6,6,0,.,38,63,.,16,0,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,5,0,.,38,38,.,38,3,0,0,16,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,5,0,.,38,63,.,16,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,5,0,.,63,86,.,3,0,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,4,0,.,38,63,.,16,16,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,7,4,0,.,16,86,.,3,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,4,5,4,1,.,16,86,.,3,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,5,5,0,.,16,63,.,3,16,0,3,3,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,4,4,0,.,16,86,.,0,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,4,4,0,.,63,63,.,3,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,4,4,0,.,3,86,.,3,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,3,3,3,5,0,.,16,38,.,16,0,0,63,0,.,.,.,,.,,,,,,.
,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,3,3,3,3,0,.,38,16,.,16,38,0,0,3,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,7,10,6,6,0,.,3,86,.,3,0,0,63,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,7,7,7,7,0,.,16,96,.,0,0,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,9,6,7,0,.,16,63,.,38,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,7,7,7,7,0,.,38,38,.,38,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,6,5,5,0,.,16,86,.,16,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,5,5,5,0,.,38,38,.,16,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,5,5,6,0,.,3,96,.,3,0,0,16,0,.,.,.,,.,,,,,,.
