date,year,pasture,patch,pasture_patch,pasture_patch_year,pasture_patch_year_transect,robel_n,robel_e,robel_s,robel_w,wsg,csg_fear,csg,fear,cheat,forbs,legumes,woody,bare,litter,litter_dep,panic,seed_mix_forbs,seed_cover_total,sedges,sdv,tallest,lit_2,lit_3,angle_of_o,violets,avg_robel,sd_robel
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,11,7,7,9,0,NA,16,38,NA,16,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,2.8284271247461903
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,8,8,8,0,NA,63,0,NA,3,3,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,7,7,9,0,NA,86,38,NA,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,8,7,8,0,NA,63,38,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,8,7,9,0,NA,16,38,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,2.1213203435596424
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,7,7,7,0,NA,63,38,NA,63,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,7,7,0,NA,16,63,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,7,6,0,NA,38,63,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,7,6,0,NA,3,38,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,8,0,NA,63,38,NA,38,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,6,0,NA,16,86,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,7,6,6,5,0,NA,38,16,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,6,0,NA,16,63,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,6,6,6,6,0,NA,16,86,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,7,0,NA,16,63,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,8,5,5,0,NA,3,96,NA,3,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2.8284271247461903
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,5,9,4,0,NA,63,38,NA,3,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,3,6,6,6,0,NA,38,63,NA,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,2.1213203435596424
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,5,0,NA,38,38,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,5,0,NA,38,63,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,5,0,NA,63,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,5,5,4,0,NA,38,63,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,7,4,0,NA,16,86,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,0
